title,genres_associated,languages_availables,runtime,overview,adult,release_date,tagline,vote_average,keywords,cast
The Night Flier,"['Mystery', 'Horror', 'Fantasy']",['English'],93.0,"Two investigative reporters for a tabloid magazine track down across country ""The Night Flier"", a serial killer who travels by private plane stalking victims in rural airports. One of the reporters, Richard Dees, begins to suspect that ""the Night Flier could perhaps be a vampire""",False,1997-04-30,Never believe what you publish...Never publish what you believe.,5.7,"['reporters', 'night', 'flier']","['Miguel Ferrer', 'Julie Entwisle', 'Dan Monahan', 'Michael H. Moss', 'John Bennes']"
Ride,['Comedy'],['English'],90.0,"A group of young people leave Harlem for a bus trip down to Miami. The voyage starts off with problems, but it ends up becoming a learning experience, as they end up learning things about each other they had not previously known.",False,1998-03-27,This party makes no stops.,6.8,"['learning', 'group', 'young']","['Malik Yoba', 'Melissa De Sousa', 'John Witherspoon', 'Fredro Starr', 'Cedric the Entertainer', 'Sticky Fingaz']"
The Wedding Singer,"['Romance', 'Comedy']",['English'],95.0,"Robbie, a local rock star turned wedding singer, is dumped on the day of his wedding. Meanwhile, waitress Julia finally sets a wedding date with her fiancée Glenn. When Julia and Robbie meet and hit it off, they find that things are more complicated than anybody thought.",False,1998-02-13,He's gonna party like it's 1985.,6.5,"['wedding', 'robbie', 'julia']","['Adam Sandler', 'Drew Barrymore', 'Christine Taylor', 'Allen Covert', 'Jon Lovitz', 'Ellen Albertini Dow', 'Angela Featherstone', 'Billy Idol', 'Alexis Arquette', 'Christina Pickles', 'Jodi Thelen', 'Matthew Glave', 'Steve Buscemi', 'Kevin Nealon', 'Andrew Shaifer']"
Sphere,['Science Fiction'],['English'],134.0,"The OSSA discovers a spacecraft thought to be at least 300 years old at the bottom of the ocean. Immediately following the discovery, they decide to send a team down to the depths of the ocean to study the space craft.They are the best of best, smart and logical, and the perfect choice to learn more about the spacecraft.",False,1998-02-13,"A thousand feet beneath the sea, the blackest holes are in the mind...",5.8,"['spacecraft', 'ocean', 'best']","['Dustin Hoffman', 'Sharon Stone', 'Samuel L. Jackson', 'Peter Coyote', 'Liev Schreiber', 'Queen Latifah', 'Marga Gómez', 'Huey Lewis', 'Bernard Hocke', 'James Pickens Jr.', 'Michael Keys Hall', 'Ralph Tabakin']"
Ayn Rand: A Sense of Life,['Documentary'],['English'],145.0,"Ayn Rand was born in 1905 in St. Petersberg, Russia. She escaped to America in 1926 amidst the rise of Soviet Communism. She remained in the United States for the rest of her life, where she became a much respected author of The Fountainhead and Atlas Shrugged. The themes of freedom and individualism were to be her life's passion...",False,1998-02-13,A life more compelling than fiction.,7.2,[],[]
Little City,"['Comedy', 'Romance']",['English'],90.0,"Best friends Adam and Kevin have a lot in common. Probably too much! In fact, Kevin is carrying on a torrid affair with Adam's girlfriend, Nina, on the side! And if this triangle wasn't crowded enough, the arrival of a seductive newcomer in town, Rebecca, promptly adds a whole new set of twists to an already tangled mix! Here's a hilarious look at how modern relationships have never been so complicated ... or so much fun!",False,1997-04-04,When your one and only... isn't the only one!,6.0,[],"['Jon Bon Jovi', 'Penelope Ann Miller', 'Annabella Sciorra', 'Joe Bellan', 'Josh Charles']"
Palmetto,"['Mystery', 'Thriller', 'Drama', 'Romance', 'Crime']","['English', 'Deutsch', 'Russian']",114.0,A recently released ex-con gets involved in a fake kidnapping scheme that turns very real.,False,1998-02-20,"In a town this bad, it's hard to be good...",5.7,"['recently', 'released', 'gets']","['Woody Harrelson', 'Gina Gershon', 'Elisabeth Shue', 'Michael Rapaport', 'Chloë Sevigny', 'Rolf Hoppe', 'Tom Wright', 'Marc Macaulay', 'Johnny Hickey', 'Ralph Wilcox']"
As Good as It Gets,"['Comedy', 'Romance']",['English'],139.0,"New York City. Melvin Udall, a cranky, bigoted, obsessive-compulsive writer, finds his life turned upside down when neighboring gay artist Simon is hospitalized and his dog is entrusted to Melvin. In addition, Carol, the only waitress who will tolerate him, must leave work to care for her sick son, making it impossible for Melvin to eat breakfast.",False,1997-12-19,A comedy from the heart that goes for the throat.,7.2,"['melvin', 'new', 'york']","['Jack Nicholson', 'Helen Hunt', 'Greg Kinnear', 'Cuba Gooding Jr.', 'Skeet Ulrich', 'Shirley Knight', 'Yeardley Smith', 'Lupe Ontiveros', 'Lawrence Kasdan', 'Harold Ramis', 'Kathryn Morris', 'Alison Rose', 'Maya Rudolph', 'Julie Benz', 'Jimmy Workman', 'Jamie Kennedy', 'Brian Doyle-Murray', 'Peter Jacobson', 'Jesse James', 'Randall Batinkoff', 'Linda Gehringer', 'Kaitlin Hopkins', 'Danielle Spencer', 'Lisa Edelstein', 'Danielle Brisebois', 'Todd Solondz', 'Matt Malloy', 'Tom McGowan', 'Bibi Osterwald', 'Ross Bleckner', 'Bernadette Balagtas', 'Jaffe Cohen', 'Laurie Kilpatrick', 'Alice Vaughn', 'Shane Black', 'Stan Bly', 'Missi Pyle', 'Tara Subkoff', 'Rebekah Johnson', 'Leslie Stefanson', 'Patricia Childress', 'Wood Harris', 'Chloe Brooks', 'Cooper Brooks', 'Kristi Zea', 'Justin Herwick', ""John F. O'Donohue"", 'Mary Elizabeth Still', 'Paul Greenberg', 'David A. Kipper', 'Antonia Jones', 'Alex Ballar', 'Bronwyn Cornelius', 'Amy Anzel', 'Laura Mayes Byrnes', 'Maurice LaMarche']"
King of New York,"['Thriller', 'Crime']","['English', 'Spanish']",103.0,A former drug lord returns from prison determined to wipe out all his competition and distribute the profits of his operations to New York's poor and lower classes in this stylish and ultra violent modern twist on Robin Hood.,False,1990-07-18,Not everyone who runs a city is elected.,6.5,"['former', 'drug', 'lord']","['Christopher Walken', 'David Caruso', 'Laurence Fishburne', 'Victor Argo', 'Wesley Snipes', 'Janet Julian', 'Joey Chin', 'Giancarlo Esposito', 'Paul Calderon', 'Steve Buscemi', 'Theresa Randle', 'Leonard L. Thomas', 'Roger Guenveur Smith', 'Carrie Nygren', 'Ernest Abuba', 'Ariane', 'Harold Perrineau']"
Twilight,"['Drama', 'Crime', 'Mystery', 'Thriller']",['English'],94.0,A retired ex-cop and private detective gets mixed up in murder when he is asked to deliver blackmail money and walks into a 20 year old case involving the mysterious disappearance of an actress' former husband.,False,1998-03-06,Some people can buy their way out of anything. Except the past.,6.1,"['retired', 'private', 'detective']","['Paul Newman', 'Susan Sarandon', 'Gene Hackman', 'Reese Witherspoon', 'Stockard Channing', 'James Garner', 'Giancarlo Esposito', 'Liev Schreiber', 'Margo Martindale', 'John Spencer', 'M. Emmet Walsh', 'Peter Gregory']"
U.S. Marshals,"['Thriller', 'Crime', 'Action']",['English'],131.0,"U.S. Marshal Sam Gerard is accompanying a plane load of convicts from Chicago to New York. The plane crashes spectacularly, and Mark Sheridan escapes. But when Diplomatic Security Agent John Royce is assigned to help Gerard recapture Sheridan, it becomes clear that Sheridan is more than just another murderer.",False,1998-03-06,The cop who won't stop is back. But this time he's chasing down a lot more than a fugitive.,6.2,"['sheridan', 'gerard', 'plane']","['Tommy Lee Jones', 'Wesley Snipes', 'Robert Downey Jr.', 'Joe Pantoliano', 'Daniel Roebuck', 'Tom Wood', 'LaTanya Richardson', 'Irène Jacob', 'Kate Nelligan', 'Patrick Malahide', 'Rick Snyder', 'Michael Paul Chan', 'Johnny Lee Davenport', 'Donald Li', 'Marc Vann', 'Richard Lexsee', 'Tony Fitzpatrick', 'Vaitiare Hirshon', 'Donald Gibb', 'Karen Vaccaro', 'Len Bajenski', 'Matt Decaro', 'Thomas Rosales, Jr.', 'James Sie', 'Tracy Letts', 'Rose Abdoo', 'Lorenzo Clemons', 'Meg Thalken', 'Lennox Brown', 'Ammar Daraiseh', 'Romanos Isaac']"
Welcome to Woop Woop,"['Music', 'Comedy', 'Fantasy', 'Adventure']",['English'],106.0,A con artist escapes a deal gone wrong in New York and winds up in the Aussie outback in a strange town whose inhabitants are an oddball collection of misfits.,False,1998-08-13,The hills are alive...,6.4,"['con', 'artist', 'escapes']","['Johnathon Schaech', 'Rod Taylor', 'Susie Porter', 'Richard Moir', 'Barry Humphries', 'Maggie Kirkpatrick', 'Paul Mercurio', 'Mark Wilson', 'Rachel Griffiths', 'Tina Louise', 'Felix Williamson', 'Kevin Copeland']"
Midaq Alley,['Drama'],['Spanish'],140.0,"Heated tempers, frustrated desires and dashed hopes plague a diverse group of individuals whose lives cross paths in Mexico City. There is the bar-owner's son, Chava, who yearns to emigrate to America. A poor barber, Abel, is madly in love with the gorgeous Alma, who eventually becomes a high-class prostitute. Finally, there is Susanita, the desperate spinster who pursues many love affairs in hopes of finding a husband.",False,1995-05-05,The most awarded film in Mexican history.,6.4,"['hopes', 'love', 'heated']","['Ernesto Gómez Cruz', 'María Rojo', 'Salma Hayek', 'Bruno Bichir', 'Delia Casanova', 'Margarita Sanz', 'Claudio Obregón', 'Juan Manuel Bernal', 'Abel Woolrich', 'Luis Felipe Tovar', 'Daniel Giménez Cacho', 'Gina Morett', 'Óscar Yoldi', 'Esteban Soberanes', 'Eugenia Leñero', 'Tiaré Scanda', 'Álvaro Carcaño', 'Fernando García Ortega', 'Alfonso Bravo', 'Jesús Ochoa', 'Lucía Álvarez', 'Guillermo Ayala', 'Anna Ciocchetti', 'Claudia Goytia', 'Daniel Birman Ripstein', 'Veronica Falcón']"
In God's Hands,['Adventure'],['English'],96.0,"Three pro surfers - gifted Shane, once-great Mickey and rising young star Keoni travel to Madagascar, Bali and Hawaii in search for the ultimate wave.",False,1998-04-24,To surf 40-foot waves is to put yourself...,5.0,"['three', 'pro', 'surfers']","['Patrick Shane Dorian', 'Matt George', 'Matty Liu', 'Shaun Tomson', 'Maylin Pultar', 'Darrick Doerner', 'Brion James']"
Everest,"['Adventure', 'Documentary']",['English'],44.0,"An international team of climbers ascends Mt. Everest in the spring of 1996. The film depicts their lengthy preparations for the climb, their trek to the summit, and their successful return to Base Camp. It also shows many of the challenges the group faced, including avalanches, lack of oxygen, treacherous ice walls, and a deadly blizzard.",False,1998-03-06,Towering above everything you have seen before.,6.3,"['international', 'team', 'climbers']","['Liam Neeson', 'Ed Viesturs', 'David Breashears', 'Tracy Pfau', 'Lhakpa Dorji']"
Hush,"['Drama', 'Thriller']",['English'],95.0,"Jackson and Helen are in love and about to have their first child when they move in with Jackson's mother, Martha, in order to take care of the family estate. But all is not well in this household. Martha is jealous of her son's affection for Helen, and, despite her Southern smile, she's starting to act strangely. As Helen tries to create a happy home life, Martha attempts to divide the family so that Jackson will become hers alone.",False,1998-03-06,Don't breathe a word.,5.9,"['jackson', 'helen', 'martha']","['Jessica Lange', 'Gwyneth Paltrow', 'Johnathon Schaech', 'Nina Foch', 'Debi Mazar', 'Kaiulani Lee', 'David Thornton', 'Hal Holbrook', 'Richard Lineback', 'Richard Kohn', 'Faith Potts', 'Tom Story', 'Jolene Carroll', 'Jacob Press', 'Joe Inscoe']"
The Man in the Iron Mask,"['Action', 'Adventure', 'Drama']",['English'],132.0,"Years have passed since the Three Musketeers, Aramis, Athos and Porthos, have fought together with their friend, D'Artagnan. But with the tyrannical King Louis using his power to wreak havoc in the kingdom while his twin brother, Philippe, remains imprisoned, the Musketeers reunite to abduct Louis and replace him with Philippe.",False,1998-03-12,For the honor of a king. And the destiny of a country. All for one.,6.3,"['musketeers', 'louis', 'philippe']","['Leonardo DiCaprio', 'Jeremy Irons', 'Gérard Depardieu', 'Gabriel Byrne', 'John Malkovich', 'Anne Parillaud', 'Judith Godrèche', 'Edward Atterton', 'Peter Sarsgaard', 'Hugh Laurie', 'David Lowe', 'Brigitte Boucher', 'Matthew Jocelyn', 'Karine Belly', 'Emmanuel Guttierez', 'Christian Erickson', 'François Montagut', 'Andrew Wallace', 'Cécile Auclert', 'Sonia Backers', 'Vincent Nemeth', 'Joe Sheridan', 'Olivier Hémon', 'Michael Morris', 'Emmanuel Patron', 'Leonor Varela', 'Michael Hofland', 'Laura Fraser', 'Brigitte Auber', 'Jean-Pol Brissart', 'François Guillaume']"
The Newton Boys,"['Crime', 'Action', 'Drama']",['English'],113.0,"Four Newton brothers are a poor farmer family in the 1920s. The oldest of them, Willis, one day realizes that there's no future in the fields and offers his brothers to become a bank robbers. Soon the family agrees. They become very famous robbers, and five years later execute the greatest train robbery in American history.",False,1998-03-26,Four Brothers. Four Criminals. For The Money... They Would Stop At Nothing.,5.9,"['brothers', 'family', 'become']","['Matthew McConaughey', 'Skeet Ulrich', 'Ethan Hawke', ""Vincent D'Onofrio"", 'Gail Cronauer', 'Jena Karam', 'Julianna Margulies', 'Casey McAuliffe', 'Dwight Yoakam', 'Charles Gunning', 'Regina Mae Matthews', 'Becket Gremmels', 'Lew Temple', 'Glynn Williams', ""Charles 'Chip' Bray"", 'Ken Farmer']"
Wild Things,['Thriller'],['English'],108.0,"When teen-socialite Kelly Van Ryan (Richards) and troubled bad girl Suzie Toller (Campbell) accuse guidance counselor Sam Lombardo (Dillon) of rape, he's suspended by the school, rejected by the town, and fighting to get his life back. One cop (Bacon) suspects conspiracy, but nothing is what it seems...",False,1998-03-20,They're dying to play with you.,6.3,"['kelly', 'van', 'ryan']","['Matt Dillon', 'Kevin Bacon', 'Denise Richards', 'Neve Campbell', 'Theresa Russell', 'Bill Murray', 'Robert Wagner', 'Daphne Rubin-Vega', 'Jeff Perry', 'Eduardo Yáñez', 'Jennifer Taylor', 'Cory Pendergast', 'Marc Macaulay', 'Toi Svane Stepp', 'Dennis Neal', 'Diane Adams', 'Paulo Benedeti', 'Victoria Bass', 'Ted Bartsch', 'Leonor Anthony', 'Antoni Corone', 'Robert Deacon', 'Anthony Giaimo', 'Manny Suarez', 'Janet Bushor', 'Gina LaMarca', 'Nancy Duerr', 'Margo Peace', 'Keith Wilson', 'Nelson Oramas', 'Michael Dean Walker', 'Jesse Muson', 'Kimberly Lamaze', 'Rebecca White']"
Paulie,"['Comedy', 'Family']","['English', 'Spanish']",91.0,"Paulie, an intelligent parrot who actually talks, relates the story of his struggle to a Russian immigrant who works as a janitor at the research institute where he is housed and neglected. Paulie's story begins many years earlier when he is given as a gift to a little girl who stutters. Eventually, he teaches the girl to speak correctly but is taken away by her father because he believes the girl cannot distinguish fantasy from reality because she believes the bird can talk. Paulie goes through a series of adventures with a pawn shop owner, an aging widow, a Mexican-American troubadour and a would be thief before being taken to the institute where he now lives",False,1998-04-17,The Bird is the Word,6.0,"['paulie', 'girl', 'story']","['Gena Rowlands', 'Tony Shalhoub', 'Cheech Marin', 'Bruce Davison', 'Trini Alvarado', 'Jay Mohr', 'Buddy Hackett', 'Hallie Kate Eisenberg', 'Matt Craven', 'Bill Cobbs', 'Tia Texada']"
"A Cool, Dry Place","['Drama', 'Romance']",['English'],97.0,"A single father balances his work as an attorney with the care of his five year old son and his work as a high school basketball coach in rural Kansas, where he moved after his wife abandoned him in Chicago. Just as he starts to develop a new relationship with a veterinarian's assistant, his ex-wife suddenly reappears and wants to re-assert herself in her husband and son's life. On top of the romantic conflict, he is also suddenly presented with the opportunity of a lifetime to join a major firm in Dallas.",False,1998-01-29,"love, sex and starting over...",5.6,"['work', 'son', 'suddenly']","['Vince Vaughn', 'Monica Potter', 'Joey Lauren Adams', 'Devon Sawa', 'Siobhan Fallon', 'Bobby Moat', 'Todd Louiso']"
Primary Colors,"['Comedy', 'Drama']",['English'],143.0,"In this adaptation of the best-selling roman à clef about Bill Clinton's 1992 run for the White House, the young and gifted Henry Burton is tapped to oversee the presidential campaign of Governor Jack Stanton. Burton is pulled into the politician's colorful world and looks on as Stanton -- who has a wandering eye that could be his downfall -- contends with his ambitious wife, Susan, and an outspoken adviser, Richard Jemmons.",False,1998-03-20,What went down on the way to the top.,6.1,"['burton', 'stanton', 'adaptation']","['John Travolta', 'Emma Thompson', 'Billy Bob Thornton', 'Kathy Bates', 'Adrian Lester', 'Maura Tierney', 'Larry Hagman', 'Diane Ladd', 'Rob Reiner', 'Allison Janney', 'Mykelti Williamson', 'Stacy Edwards', 'Paul Guilfoyle', 'Robert Klein', 'Tony Shalhoub', 'Caroline Aaron', 'Chelcie Ross']"
"Niagara, Niagara","['Drama', 'Romance']",['English'],93.0,"""Niagra, Niagra"" begins quietly in a drugstore in Poughkeepsie, where Marcie, the film's disarming heroine, likes to shoplift. She literally crashes into Seth, a quiet outsider, also on a shoplifting spree. Marcie invites Seth to accompany her to Canada to find a black hairstyling head. They set off in Seth's beat-up station wagon, destined for a toy store in Toronto. While on the road, Marcie confides to Seth that she has Tourette's syndrome, necessitating a series of detours to liquor stories and pharmacies along the roads of upstate New York.",False,1997-08-30,Love can't be controlled.,7.7,"['seth', 'marcie', 'niagra']","['Robin Tunney', 'Henry Thomas', 'Michael Parks', 'Stephen Lang', 'John MacKay', 'Alan Pottinger', 'Sol Frieder', 'Candy Clark']"
Wide Awake,"['Comedy', 'Drama', 'Family']",['English'],88.0,"A feel-good comedy about the laughter, excitement and fun that come with being a kid! Joshua is a thoughtful 10-year-old looking for some simple answers to life's eternal questions. The problem is that no one - including his concerned parents and his 5th grade teacher - seems to be making any sense!",False,1998-03-20,Meeting your best friend. Finding your favorite teacher. Having your first crush. Remember what it felt like to be...,5.2,"['comedy', 'laughter', 'excitement']","['Denis Leary', 'Joseph Cross', ""Rosie O'Donnell"", 'Dana Delany', 'Timothy Reifsnyder', 'Camryn Manheim', 'Julia Stiles', 'Dan Lauria']"
Eden,['Drama'],['English'],106.0,"Story of a New England boys' school and of one of the students who is infatuated with an instructor's wife who has Multiple Sclerosis. The woman struggles to show her strict husband how love rather than demands helps the student to blossom, but finally she falls into a coma. While she is able to have some 'looking down' awareness of what is happening, her coma is what brings her husband to an understanding of the needs of others.",False,1996-01-01,Let your spirits soar.,6.0,"['husband', 'coma', 'story']","['Joanna Going', 'Dylan Walsh', 'Sean Patrick Flanery', 'Anna Faris', 'Sean Christensen', ""Edward O'Blenis""]"
Two Girls and a Guy,"['Drama', 'Romance']",['English'],84.0,"Two women confront their boyfriend, a two-timing actor who professed eternal love to each.",False,1997-09-07,Thanks to his two girlfriends Blake is about to learn a new sexual position. Honesty,5.4,"['two', 'women', 'confront']","['Robert Downey Jr.', 'Natasha Gregson Wagner', 'Heather Graham', 'Angel David', 'Frederique van der Wal']"
No Looking Back,"['Drama', 'Comedy', 'Romance']",['English'],96.0,Charlie returns to his old town where he meets his ex-girlfriend again and tries to get her back.,False,1998-03-27,The past is always closer than you think.,5.8,"['charlie', 'returns', 'old']","['Lauren Holly', 'Edward Burns', 'Jon Bon Jovi', 'Blythe Danner', 'Connie Britton', 'Ellen McElduff', 'Jennifer Esposito', 'Kathleen Doyle', 'Nick Sandow', 'Welker White', 'Kevin Heffernan', 'Mark Schulte', 'Kaili Vernoff', 'John Ventimiglia', 'Leah Gray', 'Marcia DeBonis', 'Shari Albert', 'Susan May Pratt', 'Stuart Rudin', 'Matty Delia', ""Margaret O'Neill"", 'Chris McGovern', 'Colleen McQuade', 'John Moss', ""Imelda O'Reilly"", 'Brian Donahue', 'Capucine Lyons', 'Tim Maloney']"
The Proposition,"['Drama', 'Romance']",['English'],110.0,"Father Michael McKinnon goes from the UK to Boston circa 1935. For unknown reasons, he avoids at all costs the most prominent parishioners, Arthur and Eleanor Barret. Meanwhile Eleanor and Arthur desperately want to have a child, but Arthur is sterile, so they hire Harvard law student Roger Martin to impregnate Eleanor, but unfortunately Roger falls in love with her.",False,1998-03-26,"One man gave up everything he owned. The other, everything he believed in.",5.8,"['arthur', 'eleanor', 'roger']","['Kenneth Branagh', 'Madeleine Stowe', 'William Hurt', 'Robert Loggia', 'Bronia Wheeler', 'Neil Patrick Harris', 'Blythe Danner', 'Ken Cheeseman', 'Thomas Downey']"
The Object of My Affection,"['Comedy', 'Drama', 'Romance']",['English'],111.0,"A pregnant New York social worker begins to develop romantic feelings for her gay best friend, and decides she'd rather raise her child with him, much to the dismay of her overbearing boyfriend.",False,1998-04-17,Sometimes The Most Desirable Relationship Is The One You Can't Have,5.6,"['pregnant', 'new', 'york']","['Jennifer Aniston', 'Paul Rudd', 'Hayden Panettiere', 'Alan Alda', 'Allison Janney', 'John Pankow', 'Steve Zahn', 'Nigel Hawthorne', 'Gabriel Macht', 'Kevin Carroll', 'Sarah Hyland', 'Tim Daly', 'Audra McDonald', 'Amo Gulinello', 'Paz de la Huerta']"
Meet the Deedles,"['Animation', 'Comedy', 'Family']",['English'],93.0,Two surfers end up as Yellowstone park rangers and have to stop a former ranger who is out for revenge.,False,1998-03-27,Fish out of water...Surfers in Yellowstone,4.1,[],"['Paul Walker', 'John Ashton', 'Dennis Hopper', 'Eric Braeden', 'Richard Lineback', 'Robert Englund', 'M.C. Gainey', 'Steve Van Wormer', 'A. J. Langer']"
The Players Club,['Drama'],['English'],104.0,"Young single mother Diana struggles to provide for her child and pay for her college education. She ends up working at a shoe store, but meets two strippers from a nearby gentlemen's club who convince her there's fast money to be made stripping. At the Players Club, however, Diana faces danger and heartbreak.",False,1998-04-08,"Here, we get down and dirty.",6.2,"['diana', 'club', 'young']","['LisaRaye McCoy', 'Dick Anthony Williams', 'Judyann Elder', 'Chrystale Wilson', 'Adele Givens', 'Bernie Mac', 'Anthony Johnson', 'Monica Calhoun', 'Tracey Cherelle Jones', 'Terrence Howard', 'Charlie Murphy', 'Jamie Foxx', 'Ice Cube']"
Lost in Space,"['Adventure', 'Family', 'Science Fiction']",['English'],130.0,"The prospects for continuing life on Earth in the year 2058 are grim. So the Robinsons are launched into space to colonize Alpha Prime, the only other inhabitable planet in the galaxy. But when a stowaway sabotages the mission, the Robinsons find themselves hurtling through uncharted space.",False,1998-04-03,"Danger, Will Robinson!",5.0,"['robinsons', 'space', 'prospects']","['Gary Oldman', 'William Hurt', 'Matt LeBlanc', 'Mimi Rogers', 'Heather Graham', 'Lacey Chabert', 'Jack Johnson', 'Jared Harris', 'Mark Goddard', 'Lennie James', 'Marta Kristen', 'June Lockhart', 'Adam Sims', 'Angela Cartwright', 'John Sharian', 'Abigail Canton', 'Richard Saperstein', 'Dick Tufeld', 'Gary A. Hecker', 'Edward Fox']"
Heaven's Burning,"['Drama', 'Action', 'Thriller', 'Crime']","['Japanese', 'English']",96.0,"In Sydney, the newly married Midori is honeymooning with her husband, Yukio. She does not love him and fakes her own kidnapping to escape the marriage. Her lover is supposed to meet her, but fails to appear. She goes to a bank to get some cash, only to become a hostage in an unfolding robbery, until the getaway driver, Colin, saves her from his fellow robbers. They hit the road together, with the cops, her husband and the robbers in pursuit.",False,1997-09-04,Vengeance takes no prisoners.,5.1,"['husband', 'robbers', 'sydney']","['Russell Crowe', 'Youki Kudoh', 'Kenji Isomura', 'Ray Barrett', 'Robert Mammone']"
Mercury Rising,"['Action', 'Crime', 'Drama', 'Thriller']",['English'],111.0,"Renegade FBI agent Art Jeffries protects a nine-year-old autistic boy who has cracked the government's new ""unbreakable"" code.",False,1998-04-03,Someone knows too much.,6.0,"['renegade', 'fbi', 'agent']","['Bruce Willis', 'Alec Baldwin', 'Miko Hughes', 'Chi McBride', 'Kim Dickens', 'Robert Stanton', 'Bodhi Elfman', 'Carrie Preston', 'Lindsey Ginter', 'Peter Stormare', 'Kevin Conway', 'John Carroll Lynch', 'Kelley Hazen', 'John Doman', 'Richard Riehle', 'Chad Lindberg', 'Hank Harris', 'Camryn Manheim', 'Jack Conley', 'Maricela Ochoa', 'Peter Fontana', 'Kirk B.R. Woller', 'James MacDonald', 'Gwen McGee', 'Ned Schmidtke']"
The Spanish Prisoner,"['Crime', 'Drama', 'Mystery', 'Thriller']",['English'],110.0,An employee of a corporation with a lucrative secret process is tempted to betray it. But there's more to it than that.,False,1997-09-08,It's the oldest con in the book.,7.1,"['employee', 'corporation', 'lucrative']","['Steve Martin', 'Campbell Scott', 'Ben Gazzara', 'Rebecca Pidgeon', 'Ricky Jay', 'Felicity Huffman']"
City of Angels,"['Drama', 'Fantasy', 'Romance']","['English', 'Polish']",114.0,"When guardian angel Seth -- who invisibly watches over the citizens of Los Angeles -- becomes captivated by Maggie, a strong-willed heart surgeon, he ponders trading in his pure, otherworldly existence for a mortal life with his beloved. The couple embarks on a tender but forbidden romance spanning heaven and Earth.",False,1998-04-10,She didn't believe in angels until she fell in love with one.,6.5,"['guardian', 'angel', 'seth']","['Nicolas Cage', 'Meg Ryan', 'Andre Braugher', 'Dennis Franz', 'Colm Feore', 'Robin Bartlett', 'Joanna Merlin', 'Sarah Dampf', 'Rhonda Dotson', 'Nigel Gibbs', 'John Putch', 'Lauri Johnson', 'Christian Aubert', 'Jay Patterson', 'Shishir Kurup', 'Brian Markinson']"
The Last Days of Disco,"['Comedy', 'Drama', 'Romance']",['English'],113.0,Two young women and their friends spend spare time at an exclusive nightclub in 1980s New York.,False,1998-05-29,History is made at night.,6.8,"['two', 'young', 'women']","['Chloë Sevigny', 'Kate Beckinsale', 'Chris Eigeman', 'Mackenzie Astin', 'Matt Keeslar', 'Robert Sean Leonard', 'Jennifer Beals', 'Matt Ross', 'Tara Subkoff', 'Burr Steers', 'David Thornton']"
The Odd Couple II,"['Adventure', 'Comedy']","['English', 'Spanish']",97.0,"30 years after the first film, Oscar and Felix embark on a road trip together, to attend the wedding of Oscar's son to Felix's daughter.",False,1998-04-09,Some arguments stand the test of time,6.1,"['oscar', 'felix', '30']","['Jack Lemmon', 'Walter Matthau', 'Richard Riehle', 'Jonathan Silverman', 'Lisa Waltz']"
My Giant,"['Comedy', 'Drama', 'Family']",['English'],103.0,"Billy Crystal plays a Hollywood agent who stumbles upon Max, a giant living in Romania, and tries to get him into the movies.",False,1998-04-10,A comedy of incredible proportions.,5.1,"['billy', 'crystal', 'plays']","['Billy Crystal', 'Kathleen Quinlan', 'Joanna Pacula', 'Jere Burns', 'Harold Gould', 'Dan Castellaneta', ""Raymond O'Connor"", 'Rider Strong', 'Doris Roberts', 'Carl Ballantine', 'Eric Lloyd', 'Lorna Luft', 'Lindsay Crystal', 'Peter Schindler', 'Dale Wyatt', 'Ajay Naidu', 'Estelle Harris', 'Philip Sterling', 'Max Goldblatt', 'Michael Papajohn', 'Steven Seagal', 'Rick Overton', 'Richard Portnow', 'Nicki Micheaux', 'Lawrence Pressman', 'Gheorghe Mureșan', 'Joss Ackland']"
He Got Game,['Drama'],['English'],136.0,A basketball player's father must try to convince him to go to a college so he can get a shorter sentence.,False,1998-05-01,"The father, the son and the holy game.",6.7,"['basketball', 'player', 'father']","['Denzel Washington', 'Ray Allen', 'Milla Jovovich', 'Rosario Dawson', 'Hill Harper', 'Jill Kelly', 'Chasey Lain', 'John Turturro', 'Ned Beatty', 'Robin Roberts', 'Michael Jordan', 'Scottie Pippen', 'Charles Barkley', 'Reggie Miller', ""Shaquille O'Neal"", 'Bill Walton', 'Dick Vitale', 'Bobby Cremins', 'Rick Pitino', 'Jim Boeheim', 'George Karl', 'Clem Haskins', 'Denny Crum', 'Nolan Richardson', 'Roy Williams', 'John Chaney', 'John Thompson', 'Lute Olson', 'Dean Smith']"
Slappy and the Stinkers,"['Adventure', 'Family']","['English', 'French']",78.0,"Five 2nd-grade kids who don't follow strict rules by their school principal Brinway are dubbed ""Stinkers"" by him. On the class visit to an aquarium the Stinkers decide that a sea lion called Slappy doesn't feel too good there, ""free"" him, and plant him into Brinway's hot-tub.",False,1998-01-23,Five Kids. One Sea-Lion. No Rules.,5.6,"['brinway', 'stinkers', 'five']","['BD Wong', 'Jennifer Coolidge', 'Bronson Pinchot', 'Joseph Ashton', 'Jamie Donnelly']"
